#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00033   14.4389226   0.0   7.22e-05   14.4666832   0.0   7.2244925   4.8163284   2.26e-05   14.3826454   0.0   7.2e-05   14.431035   0.0   
00034   14.8764657   0.0   7.44e-05   14.9050675   0.0   7.4434165   4.9622777   2.33e-05   14.8184832   0.0   7.42e-05   14.8683391   0.0   
00035   15.3140089   0.0   7.66e-05   15.3434519   0.0   7.6623406   5.108227   2.4e-05   15.2543209   0.0   7.64e-05   15.3056432   0.0   
00036   15.751552   0.0   7.88e-05   15.7818362   0.0   7.8812646   5.2541764   2.47e-05   15.6901586   0.0   7.85e-05   15.7429473   0.0   
00037   16.1890951   0.0   8.1e-05   16.2202206   0.0   8.1001886   5.4001257   2.54e-05   16.1259964   0.0   8.07e-05   16.1802514   0.0   
00038   16.6266382   0.0   8.32e-05   16.6586049   0.0   8.3191126   5.5460751   2.6e-05   16.5618341   0.0   8.29e-05   16.6175555   0.0   
00039   17.0641813   0.0   8.54e-05   17.0969892   0.0   8.5380366   5.6920244   2.67e-05   16.9976719   0.0   8.51e-05   17.0548595   0.0   
00040   17.5017244   0.0   8.76e-05   17.5353736   0.0   8.7569607   5.8379738   2.74e-05   17.4335096   0.0   8.73e-05   17.4921637   0.0   
00041   17.9392675   0.0   8.98e-05   17.9737579   0.0   8.9758847   5.9839231   2.81e-05   17.8693473   0.0   8.95e-05   17.9294677   0.0   
00042   18.3768106   0.0   9.19e-05   18.4121422   0.0   9.1948087   6.1298724   2.88e-05   18.3051851   0.0   9.16e-05   18.3667718   0.0   
00043   18.8143537   0.0   9.41e-05   18.8505266   0.0   9.4137327   6.2758218   2.95e-05   18.7410229   0.0   9.38e-05   18.8040759   0.0   
00044   19.2518968   0.0   9.63e-05   19.2889109   0.0   9.6326567   6.4217711   3.01e-05   19.1768606   0.0   9.6e-05   19.24138   0.0   
00045   19.68944   0.0   9.85e-05   19.7272953   0.0   9.8515807   6.5677205   3.08e-05   19.6126983   0.0   9.82e-05   19.6786841   0.0   
00046   20.1269831   0.0   0.0001007   20.1656796   0.0   10.0705048   6.7136698   3.15e-05   20.048536   0.0   0.0001004   20.1159882   0.0   
00047   20.5645262   0.0   0.0001029   20.6040639   0.0   10.2894288   6.8596192   3.22e-05   20.4843738   0.0   0.0001025   20.5532923   0.0   
00048   21.0020693   0.0   0.0001051   21.0424483   0.0   10.5083528   7.0055685   3.29e-05   20.9202115   0.0   0.0001047   20.9905964   0.0   
00049   21.4396124   0.0   0.0001073   21.4808326   0.0   10.7272768   7.1515179   3.36e-05   21.3560493   0.0   0.0001069   21.4279005   0.0   
