#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
01836   150.6507885   0.0039316   0.0046744   150.5902245   0.0039219   75.1911255   50.127417   0.0002357   150.7299493   0.0039435   0.0046872   150.7185556   0.0039342   
01837   151.0876764   0.0039316   0.0046766   151.0286088   0.0039219   75.4100494   50.2733663   0.0002364   151.1651972   0.0039435   0.0046893   151.1558595   0.0039342   
01838   151.524568   0.0039316   0.0046788   151.4669931   0.0039219   75.6289735   50.4193157   0.0002371   151.6004485   0.0039435   0.0046915   151.5931635   0.0039342   
01839   151.960821   0.0039316   0.004681   151.9047493   0.0039219   75.8475841   50.565056   0.0002378   152.0358932   0.0039435   0.0046937   152.0306508   0.0039342   
01840   152.3977201   0.0039316   0.0046832   152.3431336   0.0039219   76.0665081   50.7110054   0.0002385   152.4711512   0.0039435   0.0046959   152.4679548   0.0039342   
01841   152.8288592   0.0039316   0.0046854   152.775989   0.003922   76.2826645   50.8551097   0.0002391   152.9081363   0.0039435   0.0046981   152.906923   0.0039342   
01842   153.2657662   0.0039316   0.0046876   153.2143733   0.003922   76.5015886   51.0010591   0.0002398   153.3434012   0.0039435   0.0047003   153.3442273   0.0039342   
01843   153.6944182   0.0039317   0.0046898   153.6450161   0.003922   76.7166456   51.1444304   0.0002405   153.7810965   0.0039435   0.0047025   153.7838596   0.0039342   
01844   154.1313337   0.0039317   0.004692   154.0834004   0.003922   76.9355699   51.2903799   0.0002412   154.2163676   0.0039435   0.0047046   154.2211637   0.0039342   
01845   154.5682527   0.0039317   0.0046941   154.5217847   0.003922   77.1544938   51.4363292   0.0002419   154.6516421   0.0039435   0.0047068   154.6584677   0.0039342   
01846   154.9892637   0.0039318   0.0046964   154.9447292   0.0039221   77.3657166   51.5771444   0.0002425   155.0911621   0.0039435   0.004709   155.0997288   0.0039342   
01847   155.4084705   0.0039319   0.0046985   155.3658773   0.0039222   77.5760628   51.7173752   0.0002432   155.5225282   0.0039435   0.0047112   155.5344902   0.0039342   
01848   155.835994   0.0039319   0.0047007   155.7953568   0.0039223   77.7904381   51.8602921   0.0002438   155.9583661   0.0039435   0.0047134   155.9735102   0.0039342   
01849   156.2559261   0.003932   0.0047029   156.2170885   0.0039224   78.0012128   52.0008086   0.0002445   156.3639883   0.0039437   0.0047156   156.3806733   0.0039344   
01850   156.6675922   0.0039322   0.0047051   156.6308369   0.0039225   78.2076651   52.1384434   0.0002452   156.7985836   0.0039437   0.0047177   156.8130718   0.0039344   
01851   156.9854575   0.0039328   0.0047073   156.9505493   0.0039231   78.3675014   52.245001   0.0002456   157.1886193   0.003944   0.00472   157.1993798   0.0039346   
01852   147.453399   0.0039981   0.0047247   147.3734908   0.0039883   73.584629   49.0564193   0.0002307   147.8530639   0.0040084   0.0047375   147.8360042   0.0039989   
01853   147.8885703   0.0039981   0.0047269   147.8102828   0.0039883   73.8027409   49.2018273   0.0002314   148.2887694   0.0040084   0.0047397   148.2738006   0.0039989   
01854   148.3238178   0.0039981   0.0047291   148.2471378   0.0039883   74.0209147   49.3472765   0.000232   148.7116059   0.0040085   0.0047419   148.6950695   0.003999   
01855   148.7557243   0.0039982   0.0047313   148.680664   0.0039884   74.2374485   49.4916323   0.0002327   149.1481212   0.0040085   0.0047441   149.133927   0.003999   
01856   149.1869034   0.0039982   0.0047335   149.1135167   0.0039884   74.453607   49.635738   0.0002334   149.5866771   0.0040085   0.0047462   149.5703063   0.003999   
01857   149.6237614   0.0039982   0.0047357   149.551901   0.0039884   74.6725311   49.7816874   0.0002341   150.0219154   0.0040085   0.0047484   150.0076104   0.003999   
01858   150.055937   0.0039982   0.0047379   149.9856964   0.0039884   74.889155   49.9261033   0.0002348   150.4581695   0.0040085   0.0047506   150.4468959   0.003999   
01859   150.4396791   0.0039986   0.0047402   150.3717794   0.0039888   75.082065   50.05471   0.0002354   150.551436   0.0040103   0.0047529   150.549112   0.0040008   
01860   150.8644245   0.0039986   0.0047424   150.7982352   0.0039889   75.2950465   50.1966977   0.000236   150.9955852   0.0040103   0.0047551   150.9874146   0.0040008   
01861   151.2869848   0.0039987   0.0047446   151.2226475   0.0039889   75.5069833   50.3379888   0.0002367   151.3363948   0.0040108   0.0047573   151.3321997   0.0040013   
01862   151.7037729   0.0039989   0.0047468   151.6413263   0.0039891   75.7160552   50.4773701   0.0002373   151.7778961   0.0040108   0.0047595   151.7767622   0.0040013   
01863   152.1203891   0.003999   0.004749   152.0601063   0.0039892   75.9252099   50.6168066   0.000238   152.132725   0.0040112   0.0047617   152.1387709   0.0040017   
01864   152.4608151   0.0039996   0.0047514   152.4051638   0.0039898   76.0971831   50.7314554   0.0002385   152.4842245   0.0040118   0.0047641   152.4845577   0.0040023   
01865   152.8942735   0.0039996   0.0047536   152.8401897   0.0039898   76.3144303   50.8762869   0.0002392   152.9223977   0.0040118   0.0047663   152.9211985   0.0040023   
01866   153.2665897   0.004   0.0047558   153.2146375   0.0039903   76.501358   51.0009053   0.0002398   153.1115463   0.0040131   0.0047685   153.1351448   0.0040036   
01867   153.6761256   0.0040002   0.0047581   153.6257174   0.0039904   76.706815   51.1378767   0.0002405   153.4732788   0.0040135   0.0047708   153.4995415   0.004004   
01868   154.0250194   0.0040008   0.0047604   153.977972   0.003991   76.8826451   51.2550967   0.000241   153.9319742   0.0040135   0.0047731   153.9646933   0.004004   
01869   154.4536638   0.0040008   0.0047626   154.4087341   0.003991   77.0976983   51.3984656   0.0002417   154.3680478   0.0040135   0.0047753   154.4034678   0.004004   
01870   154.8870315   0.0040009   0.0047648   154.8435979   0.0039911   77.3148622   51.5432414   0.0002424   154.8042934   0.0040135   0.0047775   154.8420156   0.004004   
01871   155.3156936   0.0040009   0.004767   155.2740233   0.0039911   77.5297543   51.6865029   0.000243   155.2416047   0.0040135   0.0047797   155.2821087   0.004004   
01872   155.7465295   0.0040009   0.0047692   155.7065828   0.0039912   77.7457861   51.830524   0.0002437   155.6781787   0.0040135   0.0047819   155.7208622   0.004004   
01873   156.1679198   0.004001   0.0047714   156.1296627   0.0039913   77.9570857   51.9713905   0.0002444   156.1188222   0.0040135   0.0047841   156.1636369   0.004004   
01874   151.2941322   0.0040359   0.0047817   151.2336122   0.004026   75.512091   50.341394   0.0002367   151.2110152   0.0040487   0.0047946   151.2135373   0.0040391   
01875   151.7310301   0.0040359   0.0047839   151.6719965   0.004026   75.7310148   50.4873432   0.0002374   151.6462693   0.0040487   0.0047967   151.6508413   0.0040391   
01876   152.1613717   0.0040359   0.0047861   152.1040234   0.0040261   75.9467895   50.631193   0.0002381   152.0831885   0.0040487   0.0047989   152.0907798   0.0040391   
01877   152.5924523   0.004036   0.0047883   152.5370237   0.0040261   76.1630216   50.7753477   0.0002387   152.5182339   0.0040487   0.0048011   152.5284143   0.0040391   
01878   153.0275027   0.004036   0.0047905   152.9735742   0.0040261   76.3810017   50.9206678   0.0002394   152.9544938   0.0040487   0.0048033   152.9666521   0.0040391   
01879   153.4138082   0.0040363   0.0047928   153.364105   0.0040264   76.5759836   51.0506557   0.00024   153.3851348   0.0040487   0.0048055   153.4036007   0.0040391   
01880   153.8507332   0.0040363   0.004795   153.8024893   0.0040264   76.7949075   51.196605   0.0002407   153.8204095   0.0040487   0.0048076   153.8409048   0.0040391   
01881   154.2794649   0.0040363   0.0047972   154.2327866   0.0040265   77.0098003   51.3398669   0.0002414   154.2560171   0.0040487   0.0048098   154.2792542   0.0040391   
01882   154.7153197   0.0040363   0.0047993   154.6701861   0.0040265   77.2282363   51.4854909   0.0002421   154.6915043   0.0040487   0.004812   154.7168087   0.0040391   
01883   155.1464573   0.0040364   0.0048015   155.1032698   0.0040265   77.4444549   51.6296366   0.0002428   155.1257307   0.0040487   0.0048142   155.1535282   0.0040391   
01884   155.5816074   0.0040364   0.0048037   155.5399194   0.0040265   77.6625159   51.7750106   0.0002434   155.561852   0.0040487   0.0048164   155.5917541   0.0040391   
01885   156.0080803   0.0040365   0.0048059   155.9680194   0.0040266   77.8763353   51.9175569   0.0002441   156.0004461   0.0040487   0.0048186   156.0327991   0.0040391   
01886   156.4354299   0.0040365   0.0048081   156.3971046   0.0040267   78.0906191   52.0604127   0.0002448   156.4376375   0.0040487   0.0048208   156.4723287   0.0040391   
01887   156.7833253   0.0040371   0.0048104   156.746746   0.0040272   78.2654896   52.1769931   0.0002453   156.8976075   0.0040487   0.0048231   156.9318875   0.0040391   
01888   149.6904742   0.0040865   0.0048242   149.6178006   0.0040765   74.7055477   49.8036985   0.0002342   149.9350558   0.0040977   0.0048369   149.9081223   0.004088   
01889   150.1256051   0.0040865   0.0048264   150.0545403   0.0040765   74.9236545   49.949103   0.0002349   150.3707686   0.0040977   0.0048391   150.3459153   0.004088   
01890   150.5624744   0.0040865   0.0048286   150.4929245   0.0040765   75.1425784   50.0950523   0.0002356   150.8059731   0.0040977   0.0048413   150.7832193   0.004088   
01891   150.9984368   0.0040865   0.0048307   150.9304583   0.0040765   75.3610579   50.2407053   0.0002362   151.2409827   0.0040977   0.0048435   151.2206976   0.004088   
01892   151.435314   0.0040865   0.0048329   151.3688427   0.0040765   75.5799821   50.3866547   0.0002369   151.6761956   0.0040977   0.0048457   151.6580019   0.004088   
01893   151.8653013   0.0040866   0.0048351   151.8006555   0.0040766   75.7956094   50.5304063   0.0002376   152.1130248   0.0040977   0.0048478   152.0974777   0.004088   
01894   152.3021871   0.0040866   0.0048373   152.2390399   0.0040766   76.0145334   50.6763556   0.0002383   152.548246   0.0040977   0.00485   152.5347822   0.004088   
01895   152.7381795   0.0040866   0.0048395   152.6765654   0.0040766   76.2330262   50.8220175   0.000239   152.9837226   0.0040977   0.0048522   152.972358   0.004088   
01896   153.1694609   0.0040866   0.0048417   153.1095001   0.0040766   76.4490781   50.9660521   0.0002396   153.4204635   0.0040977   0.0048544   153.4114121   0.004088   
01897   153.5973302   0.0040867   0.0048439   153.5391528   0.0040767   76.6636415   51.1090943   0.0002403   153.8583692   0.0040977   0.0048566   153.8513048   0.004088   
01898   154.0254173   0.0040867   0.0048461   153.9692216   0.0040767   76.8784736   51.2523157   0.000241   154.1486466   0.0040984   0.0048588   154.1556244   0.0040887   
01899   154.450894   0.0040868   0.0048483   154.3965163   0.0040768   77.0917444   51.3944963   0.0002417   154.5273076   0.0040987   0.004861   154.5292635   0.004089   
01900   154.8776434   0.0040868   0.0048505   154.8250696   0.0040769   77.3058942   51.5372628   0.0002423   154.9654619   0.0040987   0.0048632   154.9702426   0.004089   
01901   155.3036928   0.0040869   0.0048527   155.2528757   0.004077   77.5195099   51.6796733   0.000243   155.2324639   0.0040995   0.0048654   155.2442526   0.0040899   
01902   155.7381533   0.0040869   0.0048549   155.6889457   0.004077   77.7373225   51.8248817   0.0002437   155.6683456   0.0040995   0.0048676   155.682258   0.0040899   
01903   156.1643405   0.004087   0.0048571   156.1168641   0.004077   77.9510192   51.9673461   0.0002443   156.1066385   0.0040995   0.0048698   156.1231403   0.0040899   
01904   156.5919101   0.0040871   0.0048593   156.5463217   0.0040771   78.1656485   52.1104323   0.000245   156.5442975   0.0040995   0.004872   156.5632437   0.0040899   
01905   156.9933963   0.0040873   0.0048616   156.9506017   0.0040773   78.3676072   52.2450714   0.0002456   156.9872796   0.0040996   0.0048742   157.0060052   0.0040899   
01906   157.4246785   0.0040873   0.0048638   157.3834852   0.0040774   78.5837439   52.3891626   0.0002463   157.4239358   0.0040996   0.0048764   157.4452459   0.0040899   
01907   149.8642078   0.0040889   0.0048276   149.8622697   0.0040789   74.8292146   49.8861431   0.0002346   149.5946796   0.0040996   0.0048373   149.6718177   0.0040899   
01908   150.3011305   0.0040889   0.0048298   150.300654   0.0040789   75.0481386   50.0320924   0.0002353   150.0299233   0.0040996   0.0048395   150.1091218   0.0040899   
01909   150.7042691   0.0040889   0.0048318   150.7039548   0.0040789   75.2495452   50.1663634   0.0002359   150.4364823   0.0040996   0.0048415   150.516669   0.0040899   
01910   151.1370053   0.0040889   0.004834   151.1375813   0.0040789   75.4661539   50.3107693   0.0002366   150.8699887   0.0040996   0.0048437   150.9516288   0.0040899   
01911   151.5694602   0.0040889   0.0048362   151.5717649   0.004079   75.68295   50.4553   0.0002372   151.3038091   0.0040996   0.0048459   151.387628   0.0040899   
01912   152.0035884   0.0040889   0.0048383   152.007382   0.004079   75.9005112   50.6003408   0.0002379   151.7337868   0.0040996   0.004848   151.8199569   0.0040899   
01913   152.4257669   0.0040889   0.0048405   152.4291847   0.004079   76.1109919   50.7406613   0.0002386   152.1632059   0.0040996   0.0048502   152.2495816   0.0040899   
01914   152.8580957   0.0040889   0.0048426   152.8629772   0.004079   76.3276843   50.8851229   0.0002393   152.5940797   0.0040996   0.0048523   152.6824319   0.0040899   
01915   153.2932757   0.0040889   0.0048448   153.2996109   0.004079   76.5457008   51.0304672   0.0002399   153.0248294   0.0040996   0.0048545   153.1155915   0.0040899   
01916   153.7272142   0.004089   0.004847   153.7350987   0.004079   76.7631776   51.1754517   0.0002406   153.4593947   0.0040996   0.0048567   153.5523392   0.0040899   
01917   154.0825193   0.004089   0.0048488   154.0832812   0.004079   76.9372247   51.2914831   0.0002412   153.837741   0.0040996   0.0048586   153.9214837   0.0040899   
01918   154.518689   0.004089   0.004851   154.52087   0.004079   77.1557683   51.4371788   0.0002419   154.272542   0.0040996   0.0048607   154.3582358   0.0040899   
01919   154.9464103   0.004089   0.0048531   154.9496514   0.004079   77.3699353   51.5799569   0.0002425   154.7017082   0.0040996   0.0048629   154.7886602   0.0040899   
01920   155.3794179   0.004089   0.0048553   155.3842752   0.004079   77.5870424   51.7246949   0.0002432   155.1331829   0.0040996   0.0048651   155.2224466   0.0040899   
01921   155.8076464   0.004089   0.0048574   155.8145892   0.004079   77.8019423   51.8679615   0.0002439   155.5587537   0.0040996   0.0048672   155.6502268   0.0040899   
01922   156.2349781   0.004089   0.0048596   156.2434678   0.0040791   78.0162278   52.0108185   0.0002445   155.9958735   0.0040996   0.0048694   156.0892209   0.0040899   
01923   156.6698398   0.004089   0.0048618   156.6797757   0.0040791   78.2340835   52.1560557   0.0002452   156.4291636   0.0040996   0.0048716   156.5245712   0.0040899   
01924   157.0772429   0.004089   0.0048639   157.0892856   0.0040791   78.4382697   52.2921798   0.0002459   156.8368211   0.0040996   0.0048736   156.9324545   0.0040899   
01925   157.4756147   0.0040893   0.0048661   157.489742   0.0040793   78.6381257   52.4254171   0.0002465   157.2270952   0.0040998   0.0048758   157.3264101   0.0040901   
01926   157.8191427   0.0040897   0.0048682   157.835339   0.0040797   78.810688   52.5404587   0.000247   157.3415259   0.0041013   0.004878   157.4732392   0.0040916   
01927   149.5728824   0.0041466   0.0048835   149.5238675   0.0041365   74.6595514   49.7730343   0.0002341   148.9402886   0.0041593   0.0048933   148.9401653   0.0041494   
01928   150.0089016   0.0041466   0.0048857   149.9614798   0.0041365   74.8780886   49.9187257   0.0002347   149.3756224   0.0041593   0.0048955   149.3777059   0.0041494   
01929   150.4457133   0.0041466   0.0048878   150.3998641   0.0041365   75.0970126   50.0646751   0.0002354   149.8107196   0.0041593   0.0048977   149.8150099   0.0041494   
01930   150.8738871   0.0041467   0.00489   150.8299384   0.0041365   75.3117699   50.2078466   0.0002361   150.2482464   0.0041593   0.0048999   150.2550023   0.0041494   
01931   151.3089611   0.0041467   0.0048922   151.2666838   0.0041365   75.5298626   50.3532417   0.0002368   150.683874   0.0041593   0.004902   150.692801   0.0041494   
01932   151.7446833   0.0041467   0.0048944   151.7040033   0.0041365   75.7482688   50.4988459   0.0002375   151.119319   0.0041593   0.0049042   151.1304331   0.0041494   
01933   152.177616   0.0041467   0.0048966   152.1386645   0.0041366   75.9652815   50.643521   0.0002381   151.5555912   0.0041593   0.0049064   151.5688711   0.0041494   
01934   152.5466569   0.0041471   0.0048989   152.5112299   0.004137   76.1513778   50.7675852   0.0002387   151.8031046   0.0041603   0.0049087   151.8057255   0.0041504   
01935   152.9819486   0.0041471   0.0049011   152.9481203   0.004137   76.3695355   50.9130237   0.0002394   152.2387647   0.0041603   0.0049109   152.2434806   0.0041504   
01936   153.4001424   0.0041473   0.0049033   153.3684527   0.0041371   76.5794184   51.0529456   0.0002401   152.6793278   0.0041603   0.0049131   152.6863815   0.0041504   
01937   153.8193072   0.0041474   0.0049055   153.7895444   0.0041372   76.7899125   51.193275   0.0002407   153.119219   0.0041603   0.0049153   153.1294321   0.0041504   
01938   154.1582239   0.004148   0.0049079   154.1321809   0.0041379   76.961233   51.3074887   0.0002413   153.4971969   0.0041607   0.0049176   153.5152325   0.0041508   
01939   154.5784581   0.0041481   0.0049101   154.5541436   0.004138   77.1716751   51.4477834   0.0002419   153.9373081   0.0041607   0.0049198   153.9577442   0.0041508   
01940   154.9576927   0.0041485   0.0049124   154.9370565   0.0041383   77.3629473   51.5752982   0.0002425   154.380316   0.0041608   0.0049221   154.4038133   0.0041509   
01941   147.479462   0.0042003   0.0049266   147.4345402   0.0041901   73.6143567   49.0762378   0.0002308   147.0063633   0.0042121   0.0049365   147.0300029   0.0042022   
01942   147.9152167   0.0042003   0.0049288   147.8719017   0.0041901   73.8327575   49.2218384   0.0002315   147.4418149   0.0042121   0.0049387   147.4676542   0.0042022   
01943   148.3520437   0.0042003   0.004931   148.310286   0.0041901   74.0516814   49.3677876   0.0002322   147.8769763   0.0042121   0.0049409   147.9049583   0.0042022   
01944   148.788875   0.0042003   0.0049332   148.7486703   0.0041901   74.2706055   49.513737   0.0002328   148.3121415   0.0042121   0.0049431   148.3422623   0.0042022   
01945   149.2257104   0.0042003   0.0049354   149.1870547   0.0041901   74.4895296   49.6596864   0.0002335   148.7473104   0.0042121   0.0049452   148.7795665   0.0042022   
01946   149.6583052   0.0042003   0.0049376   149.6213747   0.0041901   74.7064915   49.8043276   0.0002342   149.1829195   0.0042121   0.0049474   149.2192851   0.0042022   
01947   150.093876   0.0042003   0.0049398   150.0585265   0.0041901   74.9248216   49.9498811   0.0002349   149.6183467   0.0042121   0.0049496   149.6571669   0.0042022   
01948   150.5307242   0.0042003   0.004942   150.4969108   0.0041901   75.1437459   50.0958306   0.0002356   150.0535274   0.0042121   0.0049518   150.0944713   0.0042022   
01949   150.9639778   0.0042004   0.0049442   150.9318646   0.0041901   75.3609533   50.2406355   0.0002362   150.4897895   0.0042121   0.004954   150.5327702   0.0042022   
01950   151.3996613   0.0042004   0.0049464   151.3691404   0.0041902   75.5793268   50.3862179   0.0002369   150.9253197   0.0042121   0.0049562   150.9702971   0.0042022   
01951   151.8365222   0.0042004   0.0049486   151.8075247   0.0041902   75.7982507   50.5321671   0.0002376   151.3605123   0.0042121   0.0049583   151.4076014   0.0042022   
01952   152.273387   0.0042004   0.0049507   152.245909   0.0041902   76.0171747   50.6781164   0.0002383   151.7957082   0.0042121   0.0049605   151.8449054   0.0042022   
01953   152.7102557   0.0042004   0.0049529   152.6842934   0.0041902   76.2360986   50.8240657   0.000239   152.2309078   0.0042121   0.0049627   152.2822095   0.0042022   
01954   153.1388666   0.0042004   0.0049551   153.1147301   0.0041902   76.4511451   50.9674301   0.0002397   152.6684102   0.0042121   0.0049649   152.7221435   0.0042022   
01955   153.5686826   0.0042005   0.0049573   153.546169   0.0041902   76.6666304   51.1110869   0.0002403   153.1057417   0.0042121   0.0049671   153.1615895   0.0042022   
01956   153.9345341   0.0042009   0.0049596   153.9158106   0.0041907   76.8515679   51.2343786   0.0002409   153.5125495   0.0042124   0.0049694   153.5774907   0.0042024   
01957   154.3701589   0.0042009   0.0049618   154.3529823   0.0041907   77.0698832   51.3799221   0.0002416   153.9449008   0.0042124   0.0049716   154.0079095   0.0042024   
01958   154.8070545   0.0042009   0.004964   154.7913667   0.0041907   77.2888074   51.5258716   0.0002423   154.3801233   0.0042124   0.0049738   154.4452138   0.0042024   
01959   155.2439538   0.0042009   0.0049662   155.229751   0.0041907   77.5077314   51.6718209   0.000243   154.8153491   0.0042124   0.0049759   154.8825177   0.0042024   
01960   155.6786223   0.0042009   0.0049684   155.6659905   0.0041907   77.7255841   51.8170561   0.0002436   155.2439299   0.0042124   0.0049781   155.3126185   0.0042025   
01961   156.0976972   0.0042011   0.0049706   156.0866932   0.0041908   77.9354777   51.9569851   0.0002443   155.6801793   0.0042125   0.0049803   155.7401168   0.0042025   
01962   156.5313812   0.0042011   0.0049728   156.5218417   0.0041908   78.152829   52.101886   0.000245   156.1153652   0.0042125   0.0049825   156.1771844   0.0042025   
01963   156.8062196   0.0042016   0.0049747   156.7908378   0.0041914   78.2875953   52.1917302   0.0002454   156.4812863   0.0042127   0.0049846   156.5448032   0.0042028   
01964   157.2192562   0.0042017   0.0049769   157.2057278   0.0041915   78.4951369   52.3300913   0.0002461   156.7662482   0.0042134   0.0049868   156.8537446   0.0042035   
01965   157.6288282   0.0042018   0.004979   157.6161606   0.0041916   78.7000557   52.4667038   0.0002467   157.2013282   0.0042134   0.004989   157.2907139   0.0042035   
01966   158.0239625   0.0042021   0.0049813   158.0127536   0.0041919   78.8987933   52.5991955   0.0002473   157.6501129   0.0042134   0.0049912   157.7390038   0.0042035   
01967   158.399921   0.0042023   0.0049834   158.3882888   0.0041921   79.0868298   52.7245532   0.0002479   158.0799677   0.0042134   0.0049934   158.1659841   0.0042035   
01968   158.756478   0.0042028   0.0049857   158.7470891   0.0041926   79.2660684   52.8440456   0.0002485   158.4902247   0.0042137   0.0049956   158.5777046   0.0042037   
01969   150.3393493   0.0042399   0.0049805   150.2893594   0.0042296   75.0362986   50.0241991   0.0002358   149.8753015   0.0042517   0.0049905   149.9748284   0.0042417   
01970   150.7761997   0.0042399   0.0049827   150.7277438   0.0042296   75.2552224   50.1701483   0.0002365   150.3104942   0.0042517   0.0049927   150.4121328   0.0042417   
01971   151.2130542   0.0042399   0.0049849   151.1661281   0.0042296   75.4741467   50.3160978   0.0002371   150.7456902   0.0042517   0.0049949   150.8494368   0.0042417   
01972   151.6499126   0.0042399   0.004987   151.6045124   0.0042296   75.6930704   50.462047   0.0002378   151.18089   0.0042517   0.0049971   151.2867409   0.0042417   
01973   152.0838431   0.0042399   0.0049892   152.0400395   0.0042296   75.9106389   50.6070926   0.0002385   151.6169604   0.0042517   0.0049993   151.7249184   0.0042417   
01974   152.5189938   0.0042399   0.0049914   152.4767583   0.0042296   76.1287734   50.7525156   0.0002392   152.0527078   0.0042517   0.0050014   152.1627088   0.0042417   
01975   152.9558642   0.0042399   0.0049936   152.9151427   0.0042296   76.3476973   50.8984649   0.0002399   152.4879185   0.0042517   0.0050036   152.6000131   0.0042417   
01976   153.3927385   0.0042399   0.0049958   153.353527   0.0042296   76.5666212   51.0444141   0.0002406   152.9231326   0.0042517   0.0050058   153.0373171   0.0042417   
01977   153.8154071   0.00424   0.004998   153.7778889   0.0042297   76.778563   51.1857087   0.0002412   153.3641188   0.0042517   0.005008   153.4770473   0.0042417   
01978   154.2522896   0.00424   0.0050002   154.2162732   0.0042297   76.997487   51.331658   0.0002419   153.7993395   0.0042517   0.0050102   153.9143511   0.0042417   
01979   154.6870651   0.00424   0.0050024   154.6526203   0.0042297   77.2153746   51.4769164   0.0002426   154.2352614   0.0042517   0.0050124   154.3521703   0.0042417   
01980   155.1215032   0.00424   0.0050046   155.0886174   0.0042297   77.4331416   51.6220944   0.0002433   154.6713705   0.0042517   0.0050146   154.7900103   0.0042417   
01981   155.5573589   0.00424   0.0050068   155.5260328   0.0042297   77.6515712   51.7677141   0.000244   155.1068934   0.0042517   0.0050167   155.227608   0.0042417   
01982   155.9903565   0.0042401   0.005009   155.9606924   0.0042298   77.8685674   51.9123783   0.0002446   155.543263   0.0042517   0.0050189   155.6659722   0.0042417   
01983   156.409174   0.0042402   0.0050112   156.3816602   0.0042299   78.0788547   52.0525698   0.0002453   155.9837121   0.0042517   0.0050211   156.1085883   0.0042417   
01984   156.8241934   0.0042403   0.0050134   156.7989062   0.00423   78.2870318   52.1913545   0.0002459   156.4237762   0.0042517   0.0050233   156.5527968   0.0042417   
01985   157.2604325   0.0042403   0.0050156   157.2366222   0.00423   78.5056209   52.3370806   0.0002466   156.8590903   0.0042517   0.0050255   156.9904556   0.0042417   
01986   157.6879023   0.0042404   0.0050178   157.6657627   0.0042301   78.7199704   52.4799802   0.0002473   157.2971894   0.0042517   0.0050277   157.4294202   0.0042417   
01987   158.1091545   0.0042405   0.00502   158.0886643   0.0042302   78.9309827   52.6206551   0.000248   157.7342794   0.0042517   0.0050299   157.8694469   0.0042417   
01988   158.5050661   0.0042407   0.0050223   158.4864269   0.0042304   79.1296672   52.7531115   0.0002486   158.1095791   0.004252   0.0050322   158.2523355   0.004242   
01989   158.29315   0.0042411   0.0050215   158.2615202   0.0042308   79.0165342   52.6776895   0.0002482   157.9780298   0.004252   0.0050315   158.0988781   0.004242   
01990   158.7270225   0.0042411   0.0050237   158.6968218   0.0042308   79.2339195   52.822613   0.0002489   158.412034   0.004252   0.0050336   158.5347062   0.004242   
01991   150.0417769   0.0043009   0.0050399   149.9734267   0.0042905   74.8760578   49.9173719   0.0002353   149.3997483   0.0043136   0.0050499   149.5148315   0.0043034   
01992   150.472526   0.004301   0.0050421   150.4061003   0.0042906   75.0921268   50.0614179   0.0002359   149.8357276   0.0043136   0.0050521   149.9483149   0.0043035   
01993   150.9073865   0.004301   0.0050443   150.8425676   0.0042906   75.3100851   50.2067234   0.0002366   150.2236468   0.0043138   0.0050543   150.3444147   0.0043037   
01994   151.2959663   0.0043013   0.0050465   151.2351567   0.0042909   75.5061978   50.3374652   0.0002372   150.5547903   0.0043144   0.0050566   150.6717358   0.0043043   
01995   151.7317975   0.0043013   0.0050487   151.6725816   0.0042909   75.7246476   50.4830984   0.0002379   150.9900998   0.0043144   0.0050587   151.1095408   0.0043043   
01996   152.1686558   0.0043013   0.0050509   152.1109659   0.0042909   75.9435716   50.6290477   0.0002386   151.4252789   0.0043144   0.0050609   151.5468452   0.0043043   
01997   152.6047343   0.0043013   0.0050531   152.5485948   0.0042909   76.1621241   50.7747494   0.0002393   151.8607077   0.0043144   0.0050631   151.9843799   0.0043043   
01998   153.0254478   0.0043014   0.0050553   152.9717005   0.004291   76.3734585   50.915639   0.00024   152.2170919   0.0043148   0.0050653   152.3478287   0.0043047   
01999   153.4587294   0.0043014   0.0050575   153.4066388   0.004291   76.5906624   51.0604416   0.0002406   152.6533143   0.0043148   0.0050675   152.7861782   0.0043047   
02000   153.8918153   0.0043014   0.0050597   153.8413616   0.004291   76.8077596   51.2051731   0.0002413   153.0893185   0.0043148   0.0050697   153.224921   0.0043047   
02001   154.3250087   0.0043014   0.0050619   154.2762321   0.004291   77.0249298   51.3499532   0.000242   153.5255271   0.0043148   0.0050719   153.6632762   0.0043047   
02002   154.7590869   0.0043015   0.0050641   154.7119312   0.0042911   77.2425307   51.4950205   0.0002427   153.9614785   0.0043148   0.0050741   154.1014713   0.0043047   
02003   155.195976   0.0043015   0.0050663   155.1503155   0.0042911   77.4614545   51.6409696   0.0002434   154.3966921   0.0043148   0.0050762   154.5387752   0.0043047   
02004   155.5230592   0.0043022   0.0050686   155.4816564   0.0042918   77.6270329   51.7513553   0.0002439   154.8632424   0.0043148   0.0050786   155.009451   0.0043047   
02005   155.2683257   0.0043066   0.0050718   155.2365895   0.0042962   77.5045437   51.6696958   0.0002435   154.5824683   0.0043195   0.0050818   154.7086062   0.0043093   
